ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
126;2025-07-31 03:09:20;lightning;480407;907879;0.2015974436986523;37,1;14,02;25175;9761521977;34899333
127;2025-07-31 03:10:20;lightning;481282;907879;0.2030169363706118;39,7;12,44;25356;9762530819;34902494
128;2025-07-31 03:11:21;lightning;482370;907879;0.2047216437390074;39,7;13,11;24782;9763457398;34905431
129;2025-07-31 03:12:24;lightning;483300;907879;0.2059692168666302;35,5;12,87;24891;9764359463;34907411
130;2025-07-31 03:13:24;lightning;484562;907880;0.2074881888411418;39,1;13,16;24701;9765401899;34909695
131;2025-07-31 03:14:24;lightning;485800;907880;0.2089239872826457;39,1;13,16;25269;9766380754;34912301
132;2025-07-31 03:15:28;lightning;486906;907881;0.2103305141786756;39,7;12,97;24977;9767268944;34914535
133;2025-07-31 03:16:29;lightning;488023;907882;0.2118854729777752;37,1;12,72;25517;9768309587;34916624
134;2025-07-31 03:17:29;lightning;489114;907882;0.213374869146475;39,7;12,94;25323;9769244466;34918444
135;2025-07-31 03:18:30;lightning;489975;907882;0.2147605739596636;38,5;14,15;25089;9770417105;34922176
136;2025-07-31 03:19:31;lightning;491102;907882;0.2165068025237519;38,7;13,74;25304;9771334868;34924628
137;2025-07-31 03:20:34;lightning;492081;907882;0.2179970177095729;37,5;13,38;25465;9772414515;34928305
138;2025-07-31 03:21:37;lightning;492996;907883;0.2196571313730994;38,1;13,29;25205;9773185468;34930162
139;2025-07-31 03:22:38;lightning;493895;907883;0.221196142582584;38,7;13,02;25240;9774125107;34932393
140;2025-07-31 03:23:39;lightning;494761;907883;0.2227375410920456;46,2;12,94;25511;9775053515;34934686
141;2025-07-31 03:24:42;lightning;495548;907883;0.2239582586868553;36,5;13,47;25336;9775886621;34936275
142;2025-07-31 03:25:42;lightning;496559;907883;0.2257756489801969;36,5;13,59;25538;9776964985;34938181
143;2025-07-31 03:26:43;lightning;497108;907883;0.226809900125126;39,1;13,10;25999;9778346485;34943466
144;2025-07-31 03:27:44;lightning;498186;907883;0.2287778373669389;39,1;13,84;25294;9778722296;34944040
145;2025-07-31 03:28:51;lightning;498966;907883;0.2302283281085009;38,1;12,79;25307;9779683510;34946436
146;2025-07-31 03:29:52;lightning;499857;907883;0.2319244442458717;36,5;13,01;25796;9780523978;34948181
147;2025-07-31 03:30:53;lightning;500646;907884;0.2335224818810331;38,1;13,49;25991;9781410617;34950744
148;2025-07-31 03:31:58;lightning;501458;907884;0.2347834167365271;35,5;13,56;25323;9782265997;34952298
149;2025-07-31 03:33:06;lightning;502331;907884;0.2362060703517543;38,1;13,21;25888;9783285112;34954115
150;2025-07-31 03:34:07;lightning;503139;907884;0.2377522393824004;38,7;13,51;26000;9784068819;34955479
151;2025-07-31 03:35:07;lightning;504035;907884;0.2391660745420729;36,5;12,98;26108;9785027778;34957828
152;2025-07-31 03:36:08;lightning;504689;907884;0.2401107665729685;36,5;12,85;25795;9785978702;34960753
153;2025-07-31 03:37:10;lightning;505281;907884;0.2408721033314785;34,9;12,64;26728;9787224322;34966570
154;2025-07-31 03:38:10;lightning;506303;907884;0.2420501868586364;36,5;13,08;25787;9787496514;34967127
155;2025-07-31 03:39:11;lightning;507055;907884;0.2429611794835227;39,1;12,82;25677;9788441933;34969440
156;2025-07-31 03:40:15;lightning;507967;907884;0.2439002494244773;36,5;12,60;26161;9789252174;34970810
157;2025-07-31 03:41:18;lightning;508658;907884;0.2446492973653361;37,1;12,54;25928;9790077236;34972802
158;2025-07-31 03:42:19;lightning;509312;907884;0.2452676821853603;39,1;13,75;25587;9790934225;34975227
159;2025-07-31 03:43:21;lightning;510085;907884;0.2460299130867647;36,1;12,66;25487;9791476033;34976329
160;2025-07-31 03:44:21;lightning;511026;907884;0.2469086482495118;34,9;12,52;25668;9792406009;34979034
161;2025-07-31 03:45:29;lightning;511826;907884;0.2477342869622473;36,4;12,77;25689;9793601682;34985280
162;2025-07-31 03:46:31;lightning;512643;907884;0.2485731798998836;36,5;13,10;25228;9794039938;34985704
163;2025-07-31 03:47:34;lightning;513489;907884;0.2493855800396451;34,9;12,77;24971;9794857772;34987468
164;2025-07-31 03:48:34;lightning;514751;907884;0.2506978647607805;36,5;12,57;25227;9795752229;34989504
165;2025-07-31 03:49:37;lightning;516066;907884;0.2519703630091803;38,1;13,86;25261;9796655759;34992292
166;2025-07-31 03:50:37;lightning;517398;907884;0.2531201056510858;37,5;13,06;24757;9797493405;34994482
167;2025-07-31 03:51:38;lightning;518645;907885;0.2543922747397902;39,7;13,25;25451;9798484486;34996639
168;2025-07-31 03:52:38;lightning;519894;907885;0.2557694848587453;34,9;14,28;24896;9799447686;34999786
169;2025-07-31 03:53:43;lightning;521088;907885;0.2571727503044456;38,1;13,00;25455;9800489094;35005619
170;2025-07-31 03:54:44;lightning;522037;907886;0.2582359137020719;35,9;13,32;25446;9801486237;35010526
171;2025-07-31 03:55:45;lightning;523307;907886;0.2596603626507626;37,5;14,06;24907;9802234651;35012533
172;2025-07-31 03:56:45;lightning;524953;907886;0.2612480762690685;38,1;13,77;24669;9803308563;35014919
173;2025-07-31 03:57:48;lightning;526200;907886;0.2624773451067762;33,9;13,87;25053;9804340483;35017444
174;2025-07-31 03:58:49;lightning;527317;907887;0.2637593099767181;39,7;13,28;24926;9805314291;35020001
175;2025-07-31 03:59:49;lightning;528723;907887;0.2651473832510982;37,5;13,55;25396;9806392047;35022225
176;2025-07-31 04:00:49;lightning;529834;907887;0.2662581477839836;38,7;13,84;25261;9807295887;35025013
177;2025-07-31 04:01:49;lightning;530964;907887;0.2675094069711019;39,1;13,50;25129;9808276097;35027903
