ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
123;2025-07-22 05:06:34;estandar;484098;906612;0.2075560077961608;24,2;13,26;180254;5628256165;21636421
124;2025-07-22 05:07:38;estandar;485332;906612;0.2089951766473785;39,7;13,17;181643;5629189826;21640331
125;2025-07-22 05:08:40;estandar;486687;906612;0.2107028349489184;35,5;13,20;182806;5630415393;21643572
126;2025-07-22 05:09:40;estandar;487799;906613;0.2121742875384826;39,7;13,35;183972;5631220778;21646257
127;2025-07-22 05:10:40;estandar;488482;906613;0.2131803571587007;37,1;13,42;185274;5632664582;21653081
128;2025-07-22 05:11:40;estandar;489777;906613;0.2151122644212892;35,9;13,66;186241;5633211543;21655352
129;2025-07-22 05:12:42;estandar;490664;906613;0.2164923094160359;36,5;13,29;187130;5634108249;21659030
130;2025-07-22 05:13:48;estandar;491759;906613;0.2181287011506968;38,1;13,14;188561;5635087443;21662197
131;2025-07-22 05:14:49;estandar;492680;906613;0.2196958400835879;37,1;13,51;189640;5636001645;21665366
132;2025-07-22 05:15:49;estandar;493637;906613;0.2213682989341713;36,5;13,28;191205;5637716618;21672112
133;2025-07-22 05:16:49;estandar;494331;906613;0.2226504806323994;35,9;13,33;191983;5637899417;21673047
134;2025-07-22 05:17:49;estandar;495293;906614;0.2241793443839475;19;13,11;192626;5638820026;21676506
135;2025-07-22 05:18:50;estandar;496079;906614;0.2255577851291879;34,9;13,11;193910;5639745346;21680224
136;2025-07-22 05:19:56;estandar;496955;906614;0.227190695999573;39,1;13,78;195197;5640736661;21683809
137;2025-07-22 05:21:01;estandar;497830;906614;0.2287440229290721;34,4;13,27;196799;5641650236;21687443
138;2025-07-22 05:22:01;estandar;498500;906614;0.2300583133544788;38,1;13,88;197084;5642297088;21689891
139;2025-07-22 05:23:02;estandar;499072;906614;0.2311007031846263;37,1;13,70;198631;5643668728;21696112
140;2025-07-22 05:24:02;estandar;500019;906615;0.2328861264192608;35,9;13,16;199119;5643876201;21696660
141;2025-07-22 05:25:02;estandar;500885;906616;0.2346009167791967;34,9;13,73;200057;5644911117;21701651
142;2025-07-22 05:26:07;estandar;501311;906616;0.2352238285177531;34,9;13,69;201574;5646161333;21707167
143;2025-07-22 05:27:12;estandar;502409;906616;0.2370599363751461;38,1;13,28;202347;5646654824;21708557
144;2025-07-22 05:28:12;estandar;502832;906616;0.2378899298513921;36,4;13,19;203386;5647596182;21713201
145;2025-07-22 05:29:13;estandar;503639;906616;0.2393159174206202;43,9;12,84;204336;5648263267;21716412
146;2025-07-22 05:30:13;estandar;504365;906616;0.2403210551737305;66,1;13,30;205115;5648861034;21719870
147;2025-07-22 05:31:13;estandar;505069;906616;0.2413493032191139;34,9;13,58;205999;5649859886;21725023
148;2025-07-22 05:32:13;estandar;505731;906616;0.242086699267491;39,7;13,71;206397;5650023115;21725299
149;2025-07-22 05:33:14;estandar;506400;906616;0.2428614219916368;34,9;13,51;207930;5651266302;21731572
150;2025-07-22 05:34:14;estandar;507117;906616;0.2437467209644449;20,6;13,39;208569;5652055955;21734691
151;2025-07-22 05:35:14;estandar;508085;906616;0.244764460397921;34,9;13,23;209509;5652724731;21738994
152;2025-07-22 05:36:15;estandar;508561;906616;0.2453025712840382;39,7;12,94;210257;5653454491;21741334
153;2025-07-22 05:37:21;estandar;509432;906616;0.2461152652275402;33,9;13,50;210887;5654226653;21746224
154;2025-07-22 05:38:21;estandar;509997;906617;0.2466404409484424;22,6;12,87;212114;5655392628;21751524
155;2025-07-22 05:39:22;estandar;511153;906617;0.247764726990789;35,5;13,28;212413;5655663555;21752397
156;2025-07-22 05:40:22;estandar;511878;906619;0.2485071581270552;34,9;13,90;213403;5656829924;21757866
157;2025-07-22 05:41:23;estandar;512705;906619;0.2493626381039274;34,9;13,16;214173;5657290313;21759480
158;2025-07-22 05:42:23;estandar;513503;906620;0.2501343468945227;18,8;14,05;214916;5658310343;21764422
159;2025-07-22 05:43:23;estandar;514394;906620;0.2510401232567366;27,5;12,84;216441;5659251176;21768867
160;2025-07-22 05:44:23;estandar;516174;906620;0.2527824675839586;20,6;14,91;216596;5659842871;21771278
161;2025-07-22 05:45:24;estandar;517487;906620;0.2539597628453547;38,7;13,78;217781;5660718286;21773525
162;2025-07-22 05:46:24;estandar;518493;906620;0.2549675652307243;16,7;13,62;218598;5661607035;21775308
163;2025-07-22 05:47:24;estandar;519869;906620;0.2564797532278306;35,5;13,17;219974;5662576115;21778505
164;2025-07-22 05:48:25;estandar;521026;906620;0.2578258454458203;34,9;12,91;221249;5663511965;21781571
165;2025-07-22 05:49:25;estandar;521988;906620;0.2589485205290828;41,5;12,88;222300;5664756318;21786342
166;2025-07-22 05:50:25;estandar;523131;906620;0.2601916187580002;23,8;13,33;223263;5665501711;21790599
167;2025-07-22 05:51:26;estandar;524342;906620;0.2614849318984915;34,9;13,20;224060;5666354207;21794063
168;2025-07-22 05:52:45;estandar;526001;906620;0.2630419511424625;33,3;13,65;225735;5667637349;21799616
169;2025-07-22 05:53:46;estandar;527097;906620;0.264259362723436;36,5;13,94;226287;5668253968;21802105
170;2025-07-22 05:54:53;estandar;528492;906620;0.2656805981918796;37,5;13,42;227853;5669440323;21806938
171;2025-07-22 05:55:54;estandar;529655;906620;0.2668433045421221;37,1;13,12;229196;5670530232;21811229
172;2025-07-22 05:56:54;estandar;531118;906620;0.2684156981141327;17,5;14,19;229912;5671580351;21815200
173;2025-07-22 05:57:54;estandar;531880;906620;0.2693295611257218;36,9;13,37;231225;5672283414;21817433
174;2025-07-22 05:58:54;estandar;532880;906620;0.2704855940844831;37,5;13,05;231856;5673190840;21821403
175;2025-07-22 05:59:55;estandar;534093;906620;0.2718220331531876;34,9;13,11;233174;5674159407;21826068
176;2025-07-22 06:00:57;estandar;535224;906620;0.2731314772822074;35,4;13,30;233927;5675133386;21829892
177;2025-07-22 06:02:02;estandar;536717;906620;0.2747815886552748;22,7;14,63;235220;5676310433;21835037
178;2025-07-22 06:03:02;estandar;537738;906620;0.2759845457221172;36,5;13,27;236714;5677079933;21836820
179;2025-07-22 06:04:03;estandar;539120;906620;0.2775765623535421;34,9;13,58;237412;5678162148;21841529
180;2025-07-22 06:05:07;estandar;540323;906620;0.2791255395543216;33,9;13,52;238837;5679430840;21847763
181;2025-07-22 06:06:08;estandar;541220;906620;0.2801959445943966;38,5;13,40;239789;5680124132;21849760
182;2025-07-22 06:07:08;estandar;542360;906620;0.2817191424834988;37,5;14,29;240637;5680952513;21852337
183;2025-07-22 06:08:08;estandar;543464;906620;0.2831546906717856;18,8;14,58;241701;5681903412;21856170
184;2025-07-22 06:09:12;estandar;544604;906620;0.2846609383118922;34,9;13,32;243294;5683027085;21860605
185;2025-07-22 06:10:14;estandar;545503;906620;0.2859382560512098;34,9;13,56;243873;5683683878;21861589
186;2025-07-22 06:11:14;estandar;546551;906620;0.287424356776229;35,5;13,25;245194;5684692278;21864603
187;2025-07-22 06:12:19;estandar;547501;906621;0.288785256698703;19;14,46;246113;5685731652;21869643
188;2025-07-22 06:13:19;estandar;548327;906621;0.2899756103283356;46,8;13,89;246992;5686425163;21871449
189;2025-07-22 06:14:19;estandar;549078;906621;0.2911803909363295;35,9;13,32;248526;5687776530;21878457
190;2025-07-22 06:15:19;estandar;550069;906621;0.2928830512570734;38,7;13,40;249601;5688759145;21882739
191;2025-07-22 06:16:20;estandar;550608;906621;0.2938080944700182;34,9;13,74;250645;5689532118;21886270
192;2025-07-22 06:17:25;estandar;551370;906621;0.2951545645493659;35,9;13,24;251549;5690358222;21889673
193;2025-07-22 06:18:25;estandar;552388;906621;0.2969123987991444;23,4;12,94;252642;5691440162;21895687
194;2025-07-22 06:19:27;estandar;553260;906621;0.2983493661793423;42,2;13,19;253659;5691984078;21898433
195;2025-07-22 06:20:27;estandar;553921;906621;0.2994318713951058;34,9;14,63;254322;5692857243;21903093
